ID,Domain,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Created At
170,Using Loop Constructs,For Loops,"What will the following code print?

```java
public class Q32 {
    public static void main(String[] args) {
        for(int i = 0; i < 3; i++) {
            System.out.print(i + "" "");
        }
    }
}

```",0 1 2,0 1 2 3,1 2 3,Infinite loop,,A,"The loop prints i from 0 to 2: ""0 1 2 "".",2025-06-20 19:33:21
171,Using Operators and Decision Constructs,Comparison Operators,"What will the following code print?

public class Q27 {
    public static void main(String[] args) {
        String a = new String(""hello"");
        String b = new String(""hello"");
        System.out.println(a == b);
    }
}",true,false,Compilation Error,NullPointerException,,B,"The == operator compares references, not content.

Since a and b are different objects, the result is false.",2025-06-20 19:33:21
172,Working with Selected classes from the Java API,String Class,"What will the following code print?

```java
public class Q34 {
    public static void main(String[] args) {
        String s = ""Java"";
        System.out.println(s.charAt(2));
    }
}

```",v,a,J,Compilation Error,,A,"String indexing starts at 0. charAt(2) returns the character at index 2, which is 'v'.",2025-06-20 19:33:21
173,Working With Java Data Types,Variable Declaration and Initialization,"What will the following code print?

```java
public class Q35 {

    public static void main(String[] args) {

        int x = 10;
        int y = 20;
        System.out.println(y);

    }

}",10,20,0,Compilation Error,,B,"The code simply prints the value of variable y, which is 20.",2025-06-20 19:33:21
174,Using Operators and Decision Constructs,If-Else Statement,"What will the following code print?

public class Q36 {
    public static void main(String[] args) {
        int x = 5;
        if(x > 10) {
            System.out.println(""Greater"");
        } else if(x < 3) {
            System.out.println(""Smaller"");  
        }
    }
}",Greater,Smaller,Nothing,Runtime Exception,,C,"Since x=5 is not > 10 and not < 3, neither condition is true, so nothing is printed.",2025-06-20 19:33:21
175,Working With Java Data Types,Variable Declaration and Initialization,Which one is not a Java keyword?,static,Integer,void,if,,B,"'Integer' is a class name, not a keyword.

Keywords are reserved words like static, void, and if.",2025-06-20 19:33:21
176,Working with Selected classes from the Java API,String Class,"What will the following code print?

```java
public class Q31 {
    public static void main(String[] args) {
        String s = ""ABC"";
        s.toLowerCase();
        System.out.println(s);
    }
}

```",abc,ABC,Compilation Error,NullPointerException,,B,"Strings are immutable.

The toLowerCase() method returns a new string but doesn't modify the original string s.",2025-06-20 19:33:21
177,Working with Selected classes from the Java API,String Class,Which method is used to get the length of a string in Java?,length(),size(),getSize(),count(),,A,The length() method returns the number of characters in a String object.,2025-06-20 19:33:21
178,Working with Selected classes from the Java API,String Class,"What will the following code print?

```java
public class Q33 {
    public static void main(String[] args) {
        String s1 = ""hello"";
        String s2 = ""hello"";
        System.out.println(s1.equals(s2));
    }
}

```",true,false,Compilation Error,Exception,,A,"The equals() method compares the content of strings, both contain ""hello"", so the result is true.",2025-06-20 19:33:21
179,Using Operators and Decision Constructs,Logical Operators,Which operator is used to perform a short-circuit AND?,&,|,&&,||,,C,"The && operator performs short-circuit AND evaluation, meaning if the first operand is false, the second operand is not evaluated.",2025-06-20 19:33:21
180,Working With Java Data Types,Variable Casting and Conversions,"What will the following code print?

```java
public class Q38 {

    public static void main(String[] args) {

        String s1 = ""10"";
        String s2 = ""30"";
        System.out.println(s1 + s2);

    }

}

```",40,1030,3010,4030,,B,"String concatenation occurs, not arithmetic addition, resulting in ""1030"".",2025-06-20 19:33:21
181,Working With Java Data Types,Variable Casting and Conversions,"What will the following code print?

```java
public class Q37 {

    public static void main(String[] args) {

        int i = 128;
        byte b = (byte) i;
        System.out.println(b);

    }

}

```",127,128,-128,Compilation Error,,C,"byte range is -128 to 127.

Value 128 overflows and wraps around to -128.",2025-06-20 19:33:21
182,Working with Selected Classes from Java API,String Class,"What is the output of: 

```java
String s = ""Hello"";

s.concat("" World""); 

System.out.println(s);

```",Hello,Hello World,World,Compilation Error,,A,String is immutable; concat does not modify original,2025-06-20 19:33:38
183,Working with Methods and Encapsulation,Access Modifiers,Which access specifier allows access only within the same class?,private,public,protected,default,,A,private restricts access to the same class,2025-06-20 19:33:38
184,Handling Exceptions,Exception Handling,Which exception is thrown when dividing by zero?,NullPointerException,ArithmeticException,IllegalArgumentException,NumberFormatException,,B,`ArithmeticException` for integer division by zero,2025-06-20 19:33:38
185,Working With Java Data Types,Primitive Data Types,What is the size of a `char` in Java?,4 bytes,2 bytes,1 byte,Depends on JVM,,B,Java chars are 16-bit (2 bytes),2025-06-20 19:33:38
186,Using Operators and Decision Constructs,Switch Statement,Which of the following is not allowed in a `switch` statement?,int,String,boolean,char,,C,boolean is not supported in switch,2025-06-20 19:33:38
187,Advanced Java Features,Threads,Which interface must be implemented to create a thread?,Runnable,Thread,Callable,Executor,,A,Runnable is the standard way to implement a thread,2025-06-20 19:33:38
188,Using Operators and Decision Constructs,Operators,"What will it print? 

```java
int x = 10; 

System.out.println(x++ + ++x);

```",21,22,20,19,,B,"x++ is 10, ++x is 12 → 10+12 = 22",2025-06-20 19:33:38
189,Working With Java Data Types,Primitive Data Types,What is the default value of a `boolean` variable in a class?,true,false,0,null,,B,Class-level booleans default to false,2025-06-20 19:33:38
190,Java Basics,Simple Execution of Java Program,What is the return type of the `main()` method?,void,int,String,Object,,A,main method must return void,2025-06-20 19:33:38
191,Using Operators and Decision Constructs,Ternary Operator,What will it print? int x = 5; System.out.println((x > 2) ? (x < 4) ? 10 : 8 : 7);,10,8,7,Compilation Error,,B,x > 2 is true → x < 4 is false → result is 8,2025-06-20 19:33:38
192,Using Operators and Decision Constructs,Operators,"What is the output of the following code? 

```java
int x = 5; 
int y = ++x * 2; 

System.out.println(y);

```",10,11,12,13,,C,++x increments x to 6 before multiplication; 6*2 = 12,2025-06-20 19:33:38
193,Using Operators and Decision Constructs,Logical Operators,"What will it print? boolean b = false; if (b = true) System.out.println(""True"");",True,False,Compilation Error,Runtime Exception,,A,Assignment inside if evaluates to true,2025-06-20 19:33:38
194,Using Operators and Decision Constructs,Operators,"What is printed? 

```java
int i = 10; 
int j = 5; 
int result = i++ + ++j; 

System.out.println(result);

```",15,16,17,18,,B,"i++ is 10, ++j is 6 → result = 10 + 6 = 16",2025-06-20 19:33:38
195,Creating and Using Arrays,Arrays,"What will it print? 

```java
int[] arr = {1, 2, 3}; 

for(int i = 0; i < arr.length; i++) { 

  System.out.print(arr[i] + "" ""); 

}

```",1 2 3,3 2 1,1 2 3 4,Compilation Error,,A,Basic for loop over array prints 1 2 3,2025-06-20 19:33:38
196,Using Operators and Decision Constructs,Operators,"What will it print? 

```java
int x = 2; 
int y = 5; 
x *= y + 3; 

System.out.println(x);

```",16,13,10,8,,A,x *= y + 3 → x = x * (y+3) = 2*8 = 16,2025-06-20 19:33:38
197,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String s1 = new String(""OCA""); 
String s2 = ""OCA""; 

System.out.println(s1 == s2);

```",true,false,Compilation Error,NullPointerException,,B,new String() creates new object,2025-06-20 19:33:38
198,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String str = ""abc""; 
str.toUpperCase(); 

System.out.println(str);

```",abc,ABC,Compilation Error,NullPointerException,,A,String is immutable; str remains unchanged,2025-06-20 19:33:38
199,Using Operators and Decision Constructs,Operators,"What will it print? 

```java
int x = 7; 
int y = 3; 

System.out.println(x % y);

```",2,1,3,0,,B,7 % 3 = 1,2025-06-20 19:33:38
200,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String s1 = ""java""; 
String s2 = ""java""; 

System.out.println(s1 == s2);

```",true,false,Compilation Error,Runtime Exception,,A,String literals are interned → same reference,2025-06-20 19:33:38
201,Using Operators and Decision Constructs,Logical Operators,"What will it print? 

```java
int x = 5; 
int y = 10; 

System.out.println(x > 2 && y < 15);

```",true,false,Compilation Error,Exception,,A,Both conditions are true,2025-06-20 19:33:38
202,Using Operators and Decision Constructs,If-Else Statement,"What will it print? int x = 0; if(x) { System.out.println(""Zero""); }",Zero,Nothing,Compilation Error,Runtime Exception,,C,Cannot use int as boolean,2025-06-20 19:33:38
203,Working With Java Data Types,Variable Casting and Conversions,"What will it print? 

```java
byte b = 127; 
b++; 

System.out.println(b);

```",127,128,-128,Compilation Error,,C,Overflow of byte wraps around to -128,2025-06-20 19:33:38
204,Working with Selected Classes from Java API,String Class,"What will it print?

```java
System.out.println(10 + 20 + ""30"");

```",30,1030,3030,3030.0,,C,10+20=30 then string concat = 3030,2025-06-20 19:33:38
205,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String a = ""Hello""; 
String b = ""Hel"" + ""lo""; 

System.out.println(a == b);

```",true,false,Compilation Error,Runtime Exception,,A,Compile-time string concatenation is interned,2025-06-20 19:33:38
206,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String str = ""Java""; 

System.out.println(str.charAt(2));

```",v,a,J,Compilation Error,,A,char at index 2 is 'v',2025-06-20 19:33:38
207,Creating and Using Arrays,Multi-dimensional Arrays,"What will it print? 

```java
int[][] matrix = new int[2][]; 
matrix[0] = new int[3]; 
matrix[1] = new int[2]; 

System.out.println(matrix[0].length + matrix[1].length);

```",4,5,6,Compilation Error,,B,"matrix[0].length = 3, matrix[1].length = 2 → 3+2=5

You're creating a ""jagged"" 2D array (rows with different column sizes), and printing the total number of elements across both rows.

✅ matrix[0] has 3 elements
✅ matrix[1] has 2 elements
➡️ Total = 5",2025-06-20 19:33:38
208,Creating and Using Arrays,Arrays,"What will it print? 

```java
int[] arr = {1, 2, 3}; 
System.out.println(arr[3]);

``",3,IndexOutOfBoundsException,Compilation Error,null,,B,Accessing arr[3] throws `ArrayIndexOutOfBoundsException`,2025-06-20 19:33:38
209,Creating and Using Arrays,Array Declaration and Initialization,"What will it print? 

```java
int[] arr = new int[2]; 
System.out.println(arr[0]);

```",0,null,Compilation Error,Exception,,A,Default value of int array element is 0,2025-06-20 19:33:38
210,Handling Exceptions,Exception Handling,"What will it print?

```java
String[] names = new String[2]; 

System.out.println(names[0].length());

```",0,null,Compilation Error,NullPointerException,,D,"names[0] is null, so calling length() throws NPE",2025-06-20 19:33:38
211,Using Loop Constructs,Do-While Loops,"What will it print? int i = 0; do { System.out.print(i + "" ""); } while(i++ < 2);",0 1 2,0 1 2 3,1 2 3,Infinite loop,,A,Post-increment allows print before check,2025-06-20 19:33:38
212,Using Operators and Decision Constructs,Ternary Operator,"What will it print? int a = 10, b = 20; int max = (a > b) ? a : b; System.out.println(max);",10,20,0,Compilation Error,,B,b is greater → max = b,2025-06-20 19:33:38
213,Creating and Using Arrays,Array Manipulation,"What will it print? 

```java
int[] a = {1, 2, 3}; 
int[] b = a; 

b[0] = 10; 

System.out.println(a[0]);

```",1,10,0,Compilation Error,,B,"Arrays in Java are objects and are passed by reference.

Assigning one array to another does not create a copy — both variables refer to the same array.",2025-06-20 19:33:38
214,Handling Exceptions,Exception Handling,"What will it print? 

```java
int x = Integer.parseInt(""abc"");

```",Invalid format,abc,Compilation Error,Runtime Error,,A,'abc' cannot be parsed as integer; throws `NumberFormatException`,2025-06-20 19:33:38
215,Creating and Using Arrays,Multi-dimensional Arrays,"What will it print? 

```java
int[][] grid = new int[1][2]; 

System.out.println(grid.length + "" "" + grid[0].length);

```",1 2,2 1,Compilation Error,1 0,,A,"grid[0].length = 2; grid.length = 1

In Java, grid.length gives the number of rows.
grid[0].length gives the number of columns in the first row.
2D arrays in Java are really arrays of arrays.",2025-06-20 19:33:38
216,Handling Exceptions,Exception Handling,What will happen? int[] arr = new int[-2];,Length: -2,Compilation Error,NegativeArraySizeException,0,,C,Negative array size throws runtime exception,2025-06-20 19:33:38
217,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String s = null; 

System.out.println(s + ""world"");

```",world,nullworld,Compilation Error,NullPointerException,,B,null + string → 'nullworld',2025-06-20 19:33:38
218,Creating and Using Arrays,Arrays,"What will it print? 

```java
int[] data = {10, 20, 30}; 

for(int i = 0; i <= data.length; i++) System.out.print(data[i] + "" "");",10 20 30,10 20 30 0,Compilation Error,ArrayIndexOutOfBoundsException,,D,"i <= data.length leads to out-of-bounds

The loop uses i <= data.length, which causes i = 3 to be accessed.

But array indices only go from 0 to 2, so it throws `ArrayIndexOutOfBoundsException`.

Use i < data.length to fix it.",2025-06-20 19:33:38
219,Creating and Using Arrays,Multi-dimensional Arrays,"What will it print?

```java
String[][] text = new String[2][]; 
text[0] = new String[]{""A"", ""B""}; 
text[1] = new String[]{""C""}; 

System.out.println(text[1][0]);

```",A,B,C,null,,C,"text[1][0] is ""C""",2025-06-20 19:33:38
220,Java Basics,Main Characteristics of Java,Which of the following is a valid `main` method?,public static int main(String[] args),public void main(String args[]),public static void main(String[] args),static void main(String args),,C,Only public static void main(String[] args) is valid,2025-06-20 19:33:38
221,Handling Exceptions,Exception Handling,"What will it print? 

```java
throw new IllegalArgumentException(""Bad input"");

```",Bad input,Caught: Bad input,Compilation Error,IllegalArgumentException,,B,Exception caught and printed,2025-06-20 19:33:38
222,Using Loop Constructs,For Loops,"What will it print? int[] values = {1, 2, 3, 4}; for (int i = values.length - 1; i >= 0; i--) System.out.print(values[i] + "" "");",4 3 2 1,1 2 3 4,Compilation Error,Runtime Error,,A,Reverse order printing with for-loop,2025-06-20 19:33:38
223,Handling Exceptions,Exception Handling,"What will it print?

Integer.parseInt(""10.5"");",Format error,10.5,Compilation Error,Runtime Error,,A,10.5 is not valid integer → `NumberFormatException`,2025-06-20 19:33:38
224,Handling Exceptions,Exception Handling,"What will it print?

```java
Object[] obj = new String[2]; 

obj[0] = 10;

```",Done,Compilation Error,ArrayStoreException,null,,C,Storing Integer in String[] throws `ArrayStoreException`,2025-06-20 19:33:38
225,Creating and Using Arrays,Arrays,"What will it print?

```java
String[] arr = {""one"", ""two"", ""three""}; 

System.out.println(arr[arr.length]);

```",three,Compilation Error,IndexOutOfBoundsException,Runtime Error,,C,"Index arr.length is out of bounds

The array has 3 elements, so valid indices are 0, 1, and 2. arr.length is 3, so arr[arr.length] tries to access arr[3], which doesn't exist.

This causes an `ArrayIndexOutOfBoundsException` at runtime.

Always use index < length.",2025-06-20 19:33:38
227,Using Operators and Decision Constructs,If-Else Statement,What will it print? if (i = 5) { },Equal,Nothing,Compilation Error,Runtime Error,,C,Can't assign inside condition directly,2025-06-20 19:33:38
228,Working With Java Data Types,Variable Declaration and Initialization,"What will it print? 

```java
int x; //local variable

System.out.println(x);

```",0,Compilation Error,Runtime Exception,null,,B,Local variable 'x' not initialized,2025-06-20 19:33:38
229,Working With Java Data Types,Variable Casting and Conversions,"What will it print? 

```java
byte b = 10; 
b = b + 1;

```",11,Compilation Error,10,Runtime Error,,B,b + 1 = int → must cast to byte,2025-06-20 19:33:38
230,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String s1 = ""Hello""; 
String s2 = new String(""Hello""); 

System.out.println(s1 == s2);

```",true,false,Compilation Error,Runtime Error,,B,"== compares references, not values",2025-06-20 19:33:38
231,Handling Exceptions,Exception Handling,"What will it print? 

```java
int[] nums = new int[5]; 

nums[10] = 3;

```",Caught: java.lang.Exception,Caught: java.lang.ArrayIndexOutOfBoundsException,Compilation Error,Runtime Error,,B,Index 10 is out of bounds; exception caught,2025-06-20 19:33:38
232,Working With Java Data Types,Variable Casting and Conversions,"What will it print? 

```java
final int x = 100; 
byte b = x; 

System.out.println(b);

```",100,Compilation Error,0,Runtime Exception,,A,final constant fits in byte; implicit cast allowed,2025-06-20 19:33:38
233,Using Loop Constructs,Enhanced For Loops,"What will it print?

String[] vals = {""one"", ""two"", ""three""}; for(String s : vals) System.out.print(s + "" "");",one two three,three two one,Compilation Error,Runtime Error,,A,Enhanced for-loop prints in order,2025-06-20 19:33:38
234,Working with Selected Classes from Java API,String Class,"What will it print?

```java
System.out.println(""1"" + 2 + 3);

```",123,6,33,15,,A,Left-to-right string concatenation,2025-06-20 19:33:38
235,Working With Java Data Types,Primitive Data Types,"What will it print? 

```java
char c = 65; 

System.out.println(c);

```",A,65,Compilation Error,null,,A,65 is ASCII for 'A',2025-06-20 19:33:38
236,Working With Java Data Types,Variable Casting and Conversions,"What will it print? 

```java
double d = 5 / 2; 

System.out.println(d);

```",2.0,2.5,Compilation Error,Runtime Exception,,A,5/2 is integer division first → 2 → then widened,2025-06-20 19:33:38
237,Working With Java Data Types,Variable Casting and Conversions,"What will it print? 

```java
int a = 5; 
a += 3.5;

```",8,8.5,Compilation Error,Runtime Error,,C,+= with double → implicit cast not allowed without loss,2025-06-20 19:33:38
238,Creating and Using Arrays,Arrays,"What will it print? 

```java
int[] arr = new int[]{1, 2, 3}; 

System.out.println(arr.length());

```",3,Compilation Error,Runtime Error,0,,B,"Array has 'length' field, not method

The code causes a compile-time error because arr.length() is invalid.

In Java, arrays use the field length (no parentheses), not a method.

Correct usage is arr.length.

Using length() tries to call a method that doesn’t exist for arrays.",2025-06-20 19:33:38
239,Working with Inheritance,Polymorphism,"What will it print?

```java
Object o = new int[]{1, 2, 3}; 

System.out.println(o instanceof Object);

```",true,false,Compilation Error,Runtime Exception,,A,Arrays are objects,2025-06-20 19:33:38
240,Working With Java Data Types,Variable Casting and Conversions,"What will it print? 

```java
final int x = 100; 
byte b = x; 

System.out.println(b);

```",100,Compilation Error,0,Runtime Error,,A,final constant in byte range can be implicitly cast,2025-06-20 19:33:38
241,Working With Java Data Types,Variable Declaration and Initialization,"What will it print? 

```java
static int x = 10; 
int x = 20; 

System.out.println(x);

```",10,20,Compilation Error,Runtime Error,,C,Local variable shadows class variable,2025-06-20 19:33:38
242,Creating and Using Arrays,Arrays,"What will it print? 

```java
int[] a = new int[3]; 

System.out.println(a[3]);

```",0,3,Compilation Error,ArrayIndexOutOfBoundsException,,D,Index 3 out of bounds,2025-06-20 19:33:38
243,Working with Selected Classes from Java API,String Class,"What will it print?

System.out.println(10 + 20 + ""30"");",30,1030,3030,3030.0,,C,"10+20=30, then string concat",2025-06-20 19:33:38
244,Working With Java Data Types,Variable Casting and Conversions,"What will it print? 

```java
short s = 10; 

s = s * 5;

```",50,Compilation Error,Runtime Error,10,,B,s * 5 promotes to int → must cast to short,2025-06-20 19:33:38
245,Using Operators and Decision Constructs,Ternary Operator,"What will it print? true ? ""yes"" : 10;",yes,10,Compilation Error,Runtime Error,,C,Incompatible types between true/false branches,2025-06-20 19:33:38
246,Working with Selected Classes from Java API,String Class,"What will it print?

```java
String str = ""null""; 

System.out.println(str == null);

```",true,false,null,Compilation Error,,B,"""null"" is a string literal, not null",2025-06-20 19:33:38
247,Using Loop Constructs,For Loops,"What will it print? for (System.out.print(""A""); i < 1; i++) System.out.print(""B""); System.out.print(""C"");",ABC,BAC,ACB,Compilation Error,,A,"'A' prints first from loop init, then loop body → 'B', then 'C'",2025-06-20 19:33:38
248,Handling Exceptions,Exception Handling,What will it print? int x = 10 / 0;,ArithmeticException,0,Compilation Error,Runtime Exception,,A,"Divide by zero throws `ArithmeticException`, caught and printed",2025-06-20 19:33:38
249,Handling Exceptions,Exception Handling,"What will it print?

```java
String[] list = null; 

System.out.println(list[0]);

```",null,Caught NullPointerException,Compilation Error,Runtime Error,,B,Accessing list[0] on null array throws `NullPointerException`,2025-06-20 19:33:38
250,Creating and Using Arrays,Array Declaration and Initialization,"What will it print? 

```java
int[] nums = new int[0]; 

System.out.println(nums.length);

```",0,1,Compilation Error,Exception,,A,Zero-length array is legal; prints 0,2025-06-20 19:33:38
251,Using Operators and Decision Constructs,Switch Statement,"What will it print? 

```java
switch(x) { 

  case 5: print(""Five""); 
  default: print(""Default""); 

}

```",Five,Default,Five Default,Compilation Error,,C,No break → fall-through occurs,2025-06-20 19:33:38
252,Working with Selected classes from the Java API,Map Object,Which `Map` implementation maintains the insertion order of entries?,HashMap,TreeMap,LinkedHashMap,ConcurrentHashMap,EnumMap,C,`LinkedHashMap` maintains the insertion order of keys. `HashMap` does not. `TreeMap` sorts keys. `ConcurrentHashMap` and `EnumMap` have no guaranteed insertion order.,2025-06-20 19:57:15
253,Working with Selected classes from the Java API,Map Object,What happens when you try to retrieve a value for a key that does not exist in a `HashMap`?,The method throws an exception,Returns -1,Returns null,Returns Optional.empty(),Compilation error,C,"If a key is not present in a HashMap, the `get()` method returns `null`.

It does not throw an exception or return -1 by default.",2025-06-20 19:57:15
254,Working with Selected classes from the Java API,Map Object,Which of the following maps is most suitable for concurrent access by multiple threads?,Hashtable,HashMap,ConcurrentHashMap,TreeMap,LinkedHashMap,C,"`ConcurrentHashMap` is designed for high-concurrency environments. `Hashtable` is synchronized but inefficient. `HashMap`, `TreeMap`, and `LinkedHashMap` are not thread-safe.",2025-06-20 19:57:15
255,Working with Selected classes from the Java API,Map Object,Which map uses `==` instead of `.equals()` to compare keys?,EnumMap,TreeMap,IdentityHashMap,WeakHashMap,HashMap,C,`IdentityHashMap` compares keys using reference equality (`==`).,2025-06-20 19:57:15
256,Working with Selected classes from the Java API,Map Object,Which implementation is designed to store enum constants as keys efficiently?,TreeMap,EnumMap,HashMap,LinkedHashMap,Properties,B,`EnumMap` is specifically designed for enum key efficiency.,2025-06-20 19:57:15
257,Working with Selected classes from the Java API,Map Object,What is the result of calling `map.clear()` on a populated map?,All values become null,Keys are set to null,All entries are removed,Map becomes immutable,It throws an exception,C,`clear()` removes all entries from the map — size becomes zero.,2025-06-20 19:57:15
258,Working with Selected classes from the Java API,Map Object,Which of the following is a legacy synchronized map?,HashMap,TreeMap,LinkedHashMap,Hashtable,EnumMap,D,`Hashtable` is a legacy class and thread-safe by default.,2025-06-20 19:57:15
259,Working with Selected classes from the Java API,Map Object,Which statement is TRUE about `putIfAbsent()`?,Replaces existing value,Deletes the value if present,Only inserts if key is not present,Throws exception if key exists,Same as `put()`,C,`putIfAbsent()` only inserts if the key is missing.,2025-06-20 19:57:15
260,Working with Selected classes from the Java API,Map Object,"What does `getOrDefault(key, defaultVal)` do?",Always returns defaultVal,Throws if key is missing,"Returns value if present, otherwise default",Returns Optional,None of the above,C,"Returns associated value if key exists, otherwise the provided default value.",2025-06-20 19:57:15
261,Working with Selected classes from the Java API,Map Object,"What will this print?

```java
Map<String, String> map = new TreeMap<>();
map.put(""B"", ""Banana"");
map.put(""A"", ""Apple"");
System.out.println(map);

```","{B=Banana, A=Apple}","{A=Apple, B=Banana}",Random order,Compilation error,Runtime exception,B,"`TreeMap` keeps keys sorted.

Output will be in key order: `{A=Apple, B=Banana}`.",2025-06-20 19:57:15
262,Working with Selected classes from the Java API,Map Object,"What is the output of the following code?

```java
Map<String, Integer> map = new HashMap<>();
map.put(""A"", 1);
map.put(""A"", 2);
System.out.println(map.get(""A""));

```",1,2,null,Compilation error,Runtime exception,B,"The second `put` replaces the first value.

The output is `2`.",2025-06-20 19:57:15
263,Working with Selected classes from the Java API,Map Object,Which method returns a `Set` of key-value mappings in a `Map`?,keySet(),entrySet(),values(),pairs(),mapItems(),B,"`entrySet()` returns a `Set<Map.Entry<K, V>>` of key-value pairs.",2025-06-20 19:57:15
264,Working with Selected classes from the Java API,Map Object,Which of the following methods is used to loop through a map efficiently in Java 8?,map.each(),for(map),map.entries(),map.forEach(),map.iterate(),D,`forEach(BiConsumer)` is the Java 8 idiomatic way to loop over a map.,2025-06-20 19:57:15
265,Working with Selected classes from the Java API,Map Object,Which method removes all entries from a map?,empty(),clear(),reset(),nullify(),drop(),B,`clear()` is used to remove all key-value pairs from a map.,2025-06-20 19:57:15
266,Working with Selected classes from the Java API,Map Object,Choose the correct import statement for `ConcurrentHashMap`.,import java.util.ConcurrentHashMap;,import java.concurrent.ConcurrentHashMap;,import java.util.concurrent.ConcurrentHashMap;,import concurrent.ConcurrentHashMap;,import map.ConcurrentHashMap;,C,`ConcurrentHashMap` is part of the `java.util.concurrent` package.,2025-06-20 19:57:15
267,Working with Selected classes from the Java API,Map Object,What is the return type of `values()` in Map?,List,Collection,Array,Set,Map,B,`values()` returns a `Collection<V>` of all values in the map.,2025-06-20 19:57:15
268,Working with Selected classes from the Java API,Map Object,Which method checks if a map is empty?,hasEntries(),size() == 0,isEmpty(),length() == 0,None of the above,C,`isEmpty()` returns true if the map contains no entries.,2025-06-20 19:57:15
269,Working with Selected classes from the Java API,Map Object,Which of these methods exist in the `Map` interface?,"push(), pop(), peek()","add(), remove(), size()","put(), get(), remove()","insert(), delete(), select()","append(), prepend()",C,"`put()`, `get()` and `remove()` are standard Map operations.",2025-06-20 19:57:15
270,Working with Selected classes from the Java API,Map Object,Which `Map` implementation does NOT allow `null` keys or values?,HashMap,TreeMap,Hashtable,LinkedHashMap,ConcurrentHashMap,E,"Both `Hashtable` and `ConcurrentHashMap` do not allow null keys or values.

However, `ConcurrentHashMap` is the more modern choice for concurrent access.",2025-06-20 19:57:15
271,Working with Selected classes from the Java API,Map Object,"What is the output?

```java
Map<String, String> m = new LinkedHashMap<>();
m.put(""x"", ""1"");
m.put(""y"", ""2"");
System.out.println(m);

```","{y=2, x=1}","{x=1, y=2}",Random order,Runtime error,Compilation error,B,"`LinkedHashMap` preserves insertion order, so the output is `{x=1, y=2}`.",2025-06-20 19:57:15
272,Working with Selected classes from the Java API,Map Object,Which map implementation is best for a memory-sensitive cache?,TreeMap,IdentityHashMap,EnumMap,WeakHashMap,ConcurrentHashMap,D,`WeakHashMap` allows keys to be GC'd — great for memory-sensitive caching.,2025-06-20 19:57:15
273,Working with Selected classes from the Java API,Map Object,Which of these will cause a `NullPointerException` in a `TreeMap`?,null value,duplicate value,null key,null entry,empty key,C,"`TreeMap` does not allow `null` keys, as it uses `compareTo()` internally.",2025-06-20 19:57:15
274,Working with Selected classes from the Java API,Map Object,What does `entrySet()` return?,Map,List,Set of keys,Set of values,Set of entries,E,"`entrySet()` returns a `Set<Map.Entry<K, V>>` representing all key-value pairs.",2025-06-20 19:57:15
275,Working with Selected classes from the Java API,Map Object,Which map does NOT guarantee ordering of keys or entries?,TreeMap,LinkedHashMap,HashMap,EnumMap,All do,C,`HashMap` has no guarantees about key or entry order.,2025-06-20 19:57:15
276,Working with Selected classes from the Java API,Map Object,Which method returns an unmodifiable view of a `Map`?,HashMap,ConcurrentHashMap,TreeMap,Collections.unmodifiableMap(),Map.copyOf(),D,"`Collections.unmodifiableMap()` creates an unmodifiable view of the specified map.

This is available in Java SE 8.",2025-06-20 19:57:15
277,Working with Selected classes from the Java API,Map Object,Which method is used to safely compute a value only if key is absent?,compute(),putIfPresent(),computeIfAbsent(),merge(),addOrCreate(),C,`computeIfAbsent()` adds a value only if the key isn’t already present.,2025-06-20 19:57:15
278,Working with Selected classes from the Java API,Map Object,Which statement about `WeakHashMap` is correct?,Keys are garbage collected if weakly reachable,It sorts keys,It doesn't allow nulls,It’s faster than HashMap,It's thread-safe,A,`WeakHashMap` allows keys to be GC'd when no strong refs exist.,2025-06-20 19:57:15
279,Working with Selected classes from the Java API,Map Object,What interface does `TreeMap` implement in addition to `Map`?,NavigableMap,SortedSet,HashableMap,Queue,SerializableMap,A,`TreeMap` implements `NavigableMap` for range and sorted operations.,2025-06-20 19:57:15
280,Working with Selected classes from the Java API,Map Object,What is the default return of `get()` if the key doesn’t exist?,null,false,0,exception,empty string,A,`get()` returns `null` if the key is not present.,2025-06-20 19:57:15
281,Working with Selected classes from the Java API,Map Object,What does `replaceAll()` do in a `Map`?,Deletes all values,Applies a function to each entry,Converts map to immutable,Replaces keys,Throws error,B,`replaceAll()` applies a remapping function to all key-value pairs.,2025-06-20 19:57:15
282,Java 8 Features,Lambda Expressions,Which of the following is a correct lambda syntax with one parameter and no type declaration?,x -> x + 1,(int x) => x + 1,x => x + 1,(x): x + 1,x -> return x + 1,A,"For a single parameter with no type, parentheses are optional. 'x -> x + 1' is valid syntax.",2025-06-22 00:03:12
